"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.8","...","1010.6","2018-04-01 09:47","1006.7","2018-04-01 14:53","24.2","29.0","2018-04-01 14:32","21.4","2018-04-01 04:33","...","48","33","2018-04-01 12:01","2.3","89","7.1","89","2018-04-01 07:55","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1008.7","...","1010.2","2018-04-02 23:05","1007.0","2018-04-02 14:11","23.8","29.2","2018-04-02 12:01","19.5","2018-04-02 06:01","...","59","39","2018-04-02 12:21","1.7","146","7.5","321","2018-04-02 15:20","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1009.6","...","1010.6","2018-04-03 22:32","1008.4","2018-04-03 03:31","23.6","28.7","2018-04-03 11:32","20.9","2018-04-03 05:38","...","70","47","2018-04-03 11:32","1.5","325","8.3","325","2018-04-03 12:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1008.9","...","1010.8","2018-04-04 09:11","1006.8","2018-04-04 15:52","23.9","28.3","2018-04-04 13:01","20.1","2018-04-04 04:15","...","68","49","2018-04-04 15:17","1.4","161","6.1","320","2018-04-04 13:28","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1007.4","...","1009.0","2018-04-05 00:03","1005.6","2018-04-05 14:42","24.4","27.9","2018-04-05 10:31","21.3","2018-04-05 06:33","...","69","53","2018-04-05 10:52","1.4","164","6.4","342","2018-04-05 13:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1013.1","...","1021.2","2018-04-06 21:52","1006.1","2018-04-06 00:02","19.1","26.2","2018-04-06 09:12","14.1","2018-04-06 21:43","...","72","53","2018-04-06 20:21","2.4","81","12.8","75","2018-04-06 10:03","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1020.4","...","1022.6","2018-04-07 09:56","1018.7","2018-04-07 14:21","14.9","17.5","2018-04-07 14:44","13.0","2018-04-07 07:16","...","59","35","2018-04-07 16:21","1.8","54","7.3","67","2018-04-07 13:19","3.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1016.1","...","1019.6","2018-04-08 00:01","1013.1","2018-04-08 15:14","18.7","23.3","2018-04-08 14:13","14.0","2018-04-08 04:34","...","50","37","2018-04-08 12:24","2.7","108","9.7","152","2018-04-08 09:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1013.7","...","1016.3","2018-04-09 07:02","1010.6","2018-04-09 14:45","21.1","27.7","2018-04-09 12:42","15.5","2018-04-09 05:39","...","56","33","2018-04-09 12:42","1.5","159","6.5","293","2018-04-09 15:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1010.9","...","1013.6","2018-04-10 07:52","1008.4","2018-04-10 16:03","22.5","27.7","2018-04-10 13:04","17.5","2018-04-10 04:45","...","58","28","2018-04-10 13:04","1.8","146","6.9","53","2018-04-10 13:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1007.9","...","1010.0","2018-04-11 06:31","1005.5","2018-04-11 17:02","24.7","29.7","2018-04-11 12:41","19.8","2018-04-11 03:21","...","67","50","2018-04-11 13:14","1.4","18","6.3","319","2018-04-11 14:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1007.7","...","1009.8","2018-04-12 10:24","1006.1","2018-04-12 14:43","24.3","29.1","2018-04-12 15:21","21.2","2018-04-12 18:11","...","78","62","2018-04-12 15:26","1.3","157","9.0","87","2018-04-12 18:11","51.5","...","...","","...","","...","...","...","...","...","...","","..."
"13","1008.3","...","1010.2","2018-04-13 08:53","1006.2","2018-04-13 15:22","25.9","31.8","2018-04-13 12:11","21.8","2018-04-13 04:53","...","75","46","2018-04-13 12:19","1.1","170","6.4","347","2018-04-13 12:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1006.5","...","1008.1","2018-04-14 08:11","1004.5","2018-04-14 15:24","25.8","30.0","2018-04-14 12:01","23.8","2018-04-14 04:32","...","80","61","2018-04-14 12:03","1.2","80","7.0","293","2018-04-14 13:47","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1011.8","...","1014.6","2018-04-15 21:15","1006.7","2018-04-15 00:02","18.5","25.3","2018-04-15 00:11","17.5","2018-04-15 20:31","...","80","67","2018-04-15 23:32","3.1","101","10.3","66","2018-04-15 00:42","4.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1012.9","...","1014.7","2018-04-16 22:55","1011.2","2018-04-16 14:12","18.6","20.6","2018-04-16 10:51","15.8","2018-04-16 23:53","...","62","53","2018-04-16 16:11","3.8","91","12.3","87","2018-04-16 09:46","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1014.4","...","1016.5","2018-04-17 09:31","1012.7","2018-04-17 02:07","16.9","18.5","2018-04-17 14:42","15.2","2018-04-17 04:02","...","77","64","2018-04-17 16:44","2.2","106","8.6","73","2018-04-17 01:05","12.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1011.9","...","1014.1","2018-04-18 00:01","1010.3","2018-04-18 16:01","19.9","23.1","2018-04-18 11:31","16.4","2018-04-18 03:01","...","67","56","2018-04-18 10:42","3.0","73","10.3","66","2018-04-18 11:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1010.5","...","1011.8","2018-04-19 08:06","1008.6","2018-04-19 14:12","23.6","29.7","2018-04-19 13:01","19.5","2018-04-19 05:46","...","62","43","2018-04-19 13:01","2.0","104","7.5","94","2018-04-19 17:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1010.2","...","1011.7","2018-04-20 08:35","1008.7","2018-04-20 20:51","24.5","28.0","2018-04-20 12:34","21.4","2018-04-20 04:23","...","61","47","2018-04-20 12:34","2.7","95","8.3","94","2018-04-20 21:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1009.0","...","1010.8","2018-04-21 08:22","1007.3","2018-04-21 15:26","25.5","31.0","2018-04-21 12:43","22.5","2018-04-21 06:21","...","65","43","2018-04-21 12:43","1.3","117","7.5","320","2018-04-21 13:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1007.4","...","1009.6","2018-04-22 06:47","1005.2","2018-04-22 13:42","26.5","32.8","2018-04-22 13:11","22.1","2018-04-22 05:45","...","65","39","2018-04-22 13:14","1.3","152","8.7","324","2018-04-22 14:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1004.8","...","1006.7","2018-04-23 00:05","1002.6","2018-04-23 16:41","26.6","32.6","2018-04-23 11:41","23.6","2018-04-23 23:35","...","68","43","2018-04-23 11:22","1.6","150","8.3","307","2018-04-23 13:10","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"24","1006.2","...","1010.2","2018-04-24 22:02","1003.2","2018-04-24 02:24","22.3","27.3","2018-04-24 10:31","19.0","2018-04-24 18:51","...","81","67","2018-04-24 09:41","2.1","110","15.9","309","2018-04-24 11:24","13.5","...","...","","...","","...","...","...","...","...","...","","..."
"25","1010.2","...","1011.8","2018-04-25 09:41","1008.6","2018-04-25 15:28","20.1","22.7","2018-04-25 13:15","18.6","2018-04-25 04:56","...","65","50","2018-04-25 13:15","3.0","86","8.5","82","2018-04-25 10:11","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1009.7","...","1011.2","2018-04-26 08:22","1007.8","2018-04-26 14:51","22.2","26.8","2018-04-26 13:34","19.0","2018-04-26 04:30","...","63","49","2018-04-26 09:38","2.7","86","8.6","76","2018-04-26 10:26","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1011.3","...","1013.4","2018-04-27 20:42","1009.2","2018-04-27 02:23","23.2","27.3","2018-04-27 11:41","20.4","2018-04-27 04:52","...","72","56","2018-04-27 12:41","2.1","83","7.6","85","2018-04-27 23:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1010.8","...","1012.5","2018-04-28 00:01","1009.0","2018-04-28 15:45","23.9","26.0","2018-04-28 14:05","22.1","2018-04-28 01:38","...","68","58","2018-04-28 14:05","2.8","94","7.9","89","2018-04-28 14:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1008.7","...","1010.9","2018-04-29 07:56","1006.7","2018-04-29 14:29","25.2","30.0","2018-04-29 12:11","22.1","2018-04-29 03:45","...","73","51","2018-04-29 12:12","1.4","3","6.0","25","2018-04-29 14:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1009.0","...","1010.8","2018-04-30 09:41","1007.6","2018-04-30 16:25","25.9","31.0","2018-04-30 11:41","22.6","2018-04-30 05:33","...","72","49","2018-04-30 11:42","1.3","98","5.4","309","2018-04-30 12:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."