歉,郡カ,m马カ跋,代,菏代ら戳,代兜(虫),p纱,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,sλ郡,打fm,打f,2019/7/10,G瘠拼 NO2 (ppb),2.5,1.9,1.6,1.9,1.7,2.1,2.5,2.1,3,3,3.2,3.7,3.5,2.9,2.7,2.9,3.5,3.3,4.8,5.3,8.4,6.1,6.7,5.5
2,sλ郡,打fm,打f,2019/7/10,瘁瘠篇 NOx (ppb),2.8,3.1,2.7,3,3,3.5,4.2,4.1,5.8,5.5,5,5.6,5.1,4.6,4.5,4.7,5.3,4.9,6.2,6.6,9.9,7.4,8,6.8
3,sλ郡,打fm,打f,2019/7/10,@瘠拼 NO (ppb),0.3,1.2,1.1,1.2,1.3,1.4,1.7,1.9,2.7,2.5,1.8,1.9,1.7,1.7,1.8,1.8,1.8,1.6,1.4,1.3,1.4,1.3,1.3,1.4
4,sλ郡,打fm,打f,2019/7/10,灿aBL采 PM 2.5  (gg/m 3 ),6,6,7,7,10,13,10,11,11,6,9,10,5,5,12,15,13,13,15,11,10,13,11,10
5,sλ郡,打fm,打f,2019/7/10,p森乏V WD_HR (degrees),224,222,223,219,224,225,223,226,226,228,226,228,229,227,220,221,226,236,220,222,216,222,219,220
6,sλ郡,打fm,打f,2019/7/10,aBL采 PM 10  (gg/m 3 ),22,20,24,19,19,17,25,31,30,52,68,47,41,69,62,33,35,37,21,16,10,14,13,9
7,sλ郡,打fm,打f,2019/7/10,@瘠坪 CO (ppm),0.08,0.1,0.09,0.09,0.1,0.1,0.11,0.14,0.14,0.12,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.15,0.16,0.17,0.19,0.17,0.15,0.13
8,sλ郡,打fm,打f,2019/7/10,酃锢惬 RH (percent),68,68,69,70,71,72,71,70,67,60,59,61,61,57,64,63,63,72,75,80,76,76,78,72
9,sλ郡,打fm,打f,2019/7/10,乏V WIND_DIREC (degrees),223,221,222,220,223,223,223,227,232,222,226,233,233,229,215,227,233,225,222,222,218,221,225,222
10,sλ郡,打fm,打f,2019/7/10,洚 O3 (ppb),20,20,20,20,19,19,19,20,22,28,34,38,42,40,34,32,28,28,25,23,18,19,16,19
11,sλ郡,打fm,打f,2019/7/10,放 AMB_TEMP (J),29.3,29.3,29.2,29,28.7,28.6,29,30.1,31,32.8,33.2,33.1,33.7,34.4,33,32.6,31.9,30.3,29.3,28.5,29.1,29,28.4,29
12,sλ郡,打fm,打f,2019/7/10,G瘠撇 SO2 (ppb),1.6,1.8,1.8,1.9,1.7,1.7,1.7,1.7,1.9,1.9,1.8,1.9,1.8,1.9,2.4,2.4,2.2,1.9,2.2,1.9,2.2,2.2,2.4,2.4
13,sλ郡,打fm,打f,2019/7/10,烦t WIND_SPEED (m/sec),4.4,4.3,3.8,3.9,3.6,3.5,4.7,4.7,4.8,5.1,5.1,4.9,4.9,5.2,5.4,4.1,4.7,3.6,3.8,3.7,4,2.6,2.3,2.9
14,sλ郡,打fm,打f,2019/7/10,p森烦t WS_HR (m/sec),3.8,3.5,3.9,3.6,3.3,3.3,3.6,4,4,4.4,4.4,4.4,4.2,4.7,4.8,4.3,3.9,4.1,3.5,3.5,3.5,2.7,2.5,2.8
15,sλ郡,λF马,λF,2019/7/10,@瘠拼 NO (ppb),1.9,1,1.4,1.4,2,2,3.3,5.3,2.1,1.8,1.8,2.2,1.8,2.2,1.6,1.6,1.5,1.5,1.5,1.9,1.5,1.6,1,1.4
16,sλ郡,λF马,λF,2019/7/10,p森乏V WD_HR (degrees),138,136,132,138,140,135,136,142,208,206,211,218,218,218,215,222,218,221,232,206,202,155,279,139
17,sλ郡,λF马,λF,2019/7/10,p森烦t WS_HR (m/sec),2,2,1.8,2.2,1.9,2.2,1.8,1.4,4.2,3.9,3.9,4,4.3,3.9,4.8,4.3,3.5,2.6,2.1,2.7,2.3,0.9,0.3,0.6
18,sλ郡,λF马,λF,2019/7/10,乏V WIND_DIREC (degrees),140,140,139,136,137,137,146,186,204,203,231,208,219,220,226,222,222,214,217,205,204,215,163,165
19,sλ郡,λF马,λF,2019/7/10,放 AMB_TEMP (J),26.9,26.7,26.5,26.1,25.9,25.9,26.4,28.6,31.6,32.7,34,33.9,34.3,33.8,33.1,32.9,32.1,31.4,30,28.9,28,28,27.8,27.8
20,sλ郡,λF马,λF,2019/7/10,烦t WIND_SPEED (m/sec),2.4,2.2,1.9,2.5,1.8,2.6,1.4,2,4.7,3.8,3.9,5.2,4.6,4.9,4.7,5.1,3.9,2.8,1.7,3.4,3,1,1.2,1.1
21,sλ郡,λF马,λF,2019/7/10,瘁瘠篇 NOx (ppb),5.2,3,3.5,3.9,4.3,6,7.3,9.6,3.3,2.9,2.6,3.5,3.3,3.4,2.7,2.9,3.1,3.6,6.1,6.9,6.8,8.8,6,6.1
22,sλ郡,λF马,λF,2019/7/10,aBL采 PM 10  (gg/m 3 ),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
23,sλ郡,λF马,λF,2019/7/10,洚 O3 (ppb),8.2,9.6,9.8,9.4,9,8.7,9.4,13,23,24,26,30,32,30,33,30,28,28,27,24,20,14,14,13
24,sλ郡,λF马,λF,2019/7/10,@瘠坪 CO (ppm),0.14,0.12,0.13,0.13,0.14,0.17,0.23,0.26,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.19,0.21,0.23,0.22,0.28,0.21,0.21
25,sλ郡,λF马,λF,2019/7/10,酃锢惬 RH (percent),80,80,79,79,79,77,76,71,62,57,51,53,53,54,58,58,59,61,70,78,84,85,86,84
26,sλ郡,λF马,λF,2019/7/10,灿aBL采 PM 2.5  (gg/m 3 ),4,3,2,2,3,3,6,11,13,11,4,5,11,5,3,5,8,9,12,14,8,7,9,7
27,sλ郡,λF马,λF,2019/7/10,G瘠拼 NO2 (ppb),3.3,2,2,2.5,2.3,4,4,4.3,1.2,1.2,0.8,1.4,1.5,1.2,1.1,1.3,1.6,2.1,4.6,5,5.3,7.2,5,4.7
28,sλ郡,λF马,λF,2019/7/10,G瘠撇 SO2 (ppb),0.9,1.8,1.6,1.5,1.4,1.9,1.7,1.8,1.4,1.4,1.3,1.1,1.2,1,0.9,0.9,1.1,1,1.4,1.5,1.5,2,2.2,1.8
